Word,Meaning
"amber
","a yellowish brown colour
"
"appliance
","a large piece of equipment for cooking food on or in
"
"are
","the present tense and plural of ‘be’
"
"awakening
","an occasion when you suddenly realize that you understand something or feel something
"
"bayou
","a large area of water in the southeast US that moves very slowly and has many water plants
"
"beatnik
","one of a group of young people in the late 1950s and early 1960s, who did not accept the values of society and showed this by their clothes and the way they lived
"
"beware
","used to warn someone to be careful because something is dangerous
"
"bitty
","having too many small parts that do not seem to be related or connected to each other
"
"bounty
","the large brown seed of a tropical tree, which has a hard shell containing white flesh that you can eat and a milky liquid that you can drink
"
"brutalize
","to affect someone so badly that they lose their normal human feelings
"
"bullshit
","something that is stupid and completely untrue
"
"calling
","a strong desire or feeling of duty to do a particular kind of work, especially religious work
"
"cans
","a piece of equipment that you wear over your ears to listen to the radio, music etc without other people hearing it
"
"catching
","an illness that is catching is easily passed to other people
"
"charlie
","a stupid person
"
"china
","a society that is well organized and developed, used especially about a particular society in a particular place or at a particular time
"
"coconut
","the large brown seed of a tropical tree, which has a hard shell containing white flesh that you can eat and a milky liquid that you can drink
"
"collegiate
","relating to college or a college
"
"commander
","an officer of high rank in the British air force
"
"crooked
","bent, twisted, or not in a straight line
"
"decided
","definite and easily noticed
"
"drill
","a large powerful tool worked by air pressure and used for breaking up hard materials, especially road surfaces
"
"enlisted
","having a rank below that of an officer in the army, navy etc
"
"escaped
","an escaped person or animal has escaped from somewhere
"
"fathers
","the people, especially men, who were part of your family a long time ago in the past
"
"figured
","decorated with a small pattern
"
"floating
","a large container full of warm salty water, often with a cover on it to make it dark inside, that you float in so that you can relax, or to treat illness or injury
"
"fuse
","a small container filled with powder that burns or explodes to produce coloured lights and noise in the sky
"
"gardener
","someone whose job is to work in gardens
"
"goddamn
","a word used to show that you are angry or annoyed, considered offensive by some Christians
"
"gonna
","a way of saying ‘going to’
"
"gotta
","a short form of ‘have got to’, ‘has got to’, ‘have got a’, or ‘has got a’, which most people think is incorrect
"
"hood
","a large piece of equipment for cooking food on or in
"
"inbound
","moving away from you or away from a town, country etc
"
"jabber
","to talk quickly in an excited and unclear way – used to show disapproval
"
"jimmy
","a short strong metal bar used especially by thieves to break open locked doors, windows etc
"
"legless
","very drunk
"
"luscious
","extremely good to eat or drink
"
"mama
","a mother – used by or to children
"
"moron
","a very offensive word for someone who you think is very stupid
"
"mount
","riding on a horse
"
"nape
","the bottom part of the back of your neck, where the hair ends
"
"nighttime
","the time during the night
"
"ordered
","not tidy, planned, or arranged in order
"
"panther
","a large brown wild cat from the mountains of western North America and South America
"
"picked
","picked people have been specially chosen because they are very suitable for a particular job
"
"pineapple
","a large yellow-brown tropical fruit or its sweet juicy yellow flesh
"
"presidency
","the position of being the president of a country or organization, or the period of time during which someone is president
"
"pus
","a thick yellowish liquid produced in an infected part of your body
"
"racial
","relating to the relationships between different races of people who now live in the same country or area
"
"racist
","someone who believes that people of their own race are better than others, and who treats people from other races unfairly and sometimes violently – used to show disapproval
"
"redneck
","a person who lives in a country area of the US, is uneducated, and has strong unreasonable opinions – used to show disapproval
"
"retread
","a old tyre which is given a new rubber surface
"
"riding
","the sport or activity of riding horses
"
"salute
","to move your right hand to your head, especially in order to show respect to an officer in the army, navy etc
"
"schoolhouse
","a school building, especially for a small village school
"
"scrapbook
","a book with empty pages where you can stick pictures, newspaper articles, or other things you want to keep
"
"showing
","an occasion when a film, art show etc can be seen or looked at, especially a special occasion that people are invited to
"
"shrimp
","a small sea creature that you can eat, which has ten legs and a soft shell
"
"shrimping
","the activity of fishing for shrimps
"
"signing
","the act of writing your name at the end of a document to show that you agree with it
"
"singing
","the activity of producing musical sounds with your voice
"
"supposed
","claimed by other people to be true or real, although you do not think they are right
"
"symbolic
","a symbolic action is important because of what it represents but may not have any real effect
"
"tops
","at the most
"
"trying
","annoying or difficult in a way that makes you feel worried, tired etc
"
"utter
","complete – used especially to emphasize that something is very bad, or that a feeling is very strong
"
"wanted
","someone who is wanted is being looked for by the police
"
"whoa
","used to tell someone to become calmer or to do something more slowly
"
