Word,Meaning
"alias
","used when giving someone’s real name, especially an actor’s or a criminal’s name, together with another name they use
"
"are
","the present tense and plural of ‘be’
"
"assuming
","used when talking about an event or situation that might happen, and what you will do if it happens
"
"bullet
","a large bullet made of hard plastic that is intended to injure but not kill
"
"calling
","a strong desire or feeling of duty to do a particular kind of work, especially religious work
"
"cemetery
","a piece of land, usually not belonging to a church, in which dead people are buried
"
"cholera
","great anger
"
"condemned
","a condemned person is going to be punished by being killed
"
"confederate
","the abbreviation of  commercial organization, used in Internet addresses
"
"corporal
","a low rank in the army, air force etc
"
"coward
","someone who is not at all brave
"
"crossing
","a place where a railway crosses a road, usually protected by gates
"
"decided
","definite and easily noticed
"
"declared
","stated officially and publicly
"
"digestion
","the process of digesting food
"
"discredit
","to make people stop respecting or trusting someone or something
"
"disturbing
","worrying or upsetting
"
"gallant
","a public entertainment or performance to celebrate a special occasion
"
"gangrene
","a condition in which your flesh decays in part of your body, because blood has stopped flowing there as a result of illness or injury
"
"giving
","kind, caring, and generous
"
"goddamn
","a word used to show that you are angry or annoyed, considered offensive by some Christians
"
"gonna
","a way of saying ‘going to’
"
"gotta
","a short form of ‘have got to’, ‘has got to’, ‘have got a’, or ‘has got a’, which most people think is incorrect
"
"healthful
","likely to make you healthy
"
"intact
","not broken, damaged, or spoiled
"
"knowing
","showing that you know all about something, even if it has not been discussed directly
"
"luxurious
","very expensive, beautiful, and comfortable
"
"nutritious
","food that is nutritious is full of the natural substances that your body needs to stay healthy or to grow properly
"
"pistol
","a small gun you can use with one hand
"
"pouring
","pouring rain is very heavy rain
"
"rebel
","someone who opposes or fights against people in authority
"
"receiving
","the crime of buying and selling stolen goods
"
"regain
","to get something back, especially an ability or quality, that you have lost
"
"runt
","the smallest and least developed baby animal of a group born at the same time
"
"saddle
","a fast two-wheeled vehicle with an engine
"
"scum
","an unpleasant dirty substance that forms on the surface of water
"
"selling
","when one company helps to sell another company’s products by, for example, advertising the second company’s products at the same time as its own
"
"shooting
","a situation in which someone is injured or killed by a gun
"
"sierra
","a row or area of sharply pointed mountains
"
"someplace
","somewhere
"
"spontaneous
","something that is spontaneous has not been planned or organized, but happens by itself, or because you suddenly feel you want to do it
"
"statutory
","fixed or controlled by law
"
"supposed
","claimed by other people to be true or real, although you do not think they are right
"
"truce
","an agreement between enemies to stop fighting or arguing for a short time, or the period for which this is arranged
"
"trying
","annoying or difficult in a way that makes you feel worried, tired etc
"
"uncover
","to find out about something that has been kept secret
"
"unload
","to remove a load from a vehicle, ship etc
"
"useless
","not useful or effective in any way
"
