Word,Meaning
"america
","a name commonly used for the US
"
"american
","1 SANSGrelating to the US or its people
 Her mother is American.
 a famous American writer
"
"ass
","1 STUPID/NOT INTELLIGENT not polite a stupid annoying person SYN foolHe’s a pompous ass.make an ass of yourself (=do something stupid or embarrassing)
"
"assurance
","1 [countable]PROMISE a promise that something will definitely happen or is definitely true, made especially to make someone less worried
 Despite my repeated assurances, Rob still looked very nervous.give/seek/receive an assurance (that)
 He gave an assurance that the work would be completed by Wednesday.
"
"bandleader
","someone who conducts a band, especially a dance or jazz band
"
"bankroll
","BMONEYto provide the money that someone needs for a business, a plan etc SYN finance
 a software company bankrolled by the Samsung Group
"
"befall
","HAPPENif something unpleasant or dangerous befalls you, it happens to you
 We prayed that no harm should befall them.
"
"beg
","1 ask [intransitive, transitive] to ask for something in an anxious or urgent way, because you want it very much
 She begged and pleaded with them until they finally agreed.
 She fought back the sudden urge to run to him and beg his forgiveness.beg to do something
 The children begged to come with us.beg somebody to do something
 I begged Helen to stay, but she wouldn’t listen.beg (somebody) for something
 She ran to the nearest house and begged for help.
 We could hear the prisoners begging for mercy.I beg of you formal (=please)
 Listen, I beg of you.beg leave to do something formal (=ask permission to do something)► see thesaurus at  ask
"
"blast
","1 air/windDN a sudden strong movement of wind or airblast of
 A blast of cold air swept through the hut.
"
"bloodshed
","PMKILLthe killing of people, usually in fighting or war
 diplomacy aimed at stopping further bloodshed
"
"bolt
","1 lockDH a metal bar that you slide across a door or window to fasten it
"
"boys
","[plural] informal a) BOGROUP OF PEOPLEa group of men who do the same job
 Oh no! Wait until the press boys get hold of this story. b) PMmen in the army, navy etc, especially those who are fighting in a war
 our boys on the front lines
"
"brandy
","DFDa strong alcoholic drink made from wine, or a glass of this drink
"
"bridal
","MARRYrelating to a wedding or a woman who is getting married → bride
 a bridal gown
"
"brooklyn
","an industrial and international port area of New York City, and one of the city's five boroughs. It is known as an area where people of many different races live. People from Brooklyn often have a very strong accent (=way of pronouncing words) which is easy to recognize.
"
"cab
","1 TELEPHONEa taxi
 New York’s yellow cabstake/get a cab
 I took a cab to the airport.call (somebody) a cab (=telephone for a taxi)
 Ralph tried to hail a cab  (=wave to get a cab to stop for you).
"
"california
","a state in the southwest of the US, next to the Pacific Ocean, whose main cities include San Francisco and Los Angeles. The state capital is Sacramento. Disneyland and Hollywood are in California. The area between San Francisco and San José is known informally as Silicon Valley and is a centre of the computer industry. California is known for its farming industry, especially the production of fruit and wine. It is the world’s fifth largest economy. Its nickname  is The Golden State.
"
"cannot
","1 CAN'Ta negative form of ‘can’
 Mrs Armstrong regrets that she cannot accept your kind invitation.
"
"carmine
","CCa dark red colour SYN crimson
"
"casino
","DGGa place where people try to win money by playing card games or roulette
 Doesn’t that club have a casino upstairs?
"
"catholic
","VARIOUS/OF DIFFERENT KINDSincluding a very wide variety of things
 She has catholic tastes  (=likes a lot of different things).
 a catholic collection of records
"
"certify
","1 SAY/STATEto state that something is correct or true, especially after some kind of test
 The accounts were certified by an auditor.certify (that)
 We need to certify that the repairs have been satisfactorily carried out.certify somebody dead British English (=when a doctor says officially that a person is dead)
 The driver was certified dead at the scene.
"
"children
","CHILDthe plural of child
"
"chisel
","TZa metal tool with a sharp edge, used to cut wood or stone
"
"cocktail
","1

DFDan alcoholic drink made from a mixture of different drinks
"
"congratulate
","1 PRAISEto tell someone that you are happy because they have achieved something or because something nice has happened to them
 He never even stopped to congratulate me.congratulate somebody on something
 She congratulated me warmly on my exam results.congratulate somebody for doing something
 All three are to be congratulated for doing so well.► see thesaurus at  praise
"
"congressman
","PGPPGOa man who is a member of a congress, especially the US House of Representatives
"
"cop
","1 informalSCP a police officer
 the local cop
 a narcotics cop
 He pulled out his badge and said he was a cop.
"
"courtroom
","SCTa room in a law court where cases are judged
"
"creator
","1 INVENT[countable] someone who made or invented a particular thing → inventorcreator of
 Walt Disney, the creator of Mickey Mouse
"
"decorate
","1 [intransitive, transitive]DECORATEPAINT British English to paint the inside of a room, put special paper on the walls etc
 The bathroom is decorated in green and yellow.
 We plan to spend the weekend decorating.
"
"denote
","1 MEANINGto mean something → connote
 What does the word ‘curriculum’ denote that ‘course’ does not?
"
